Date,Net_Sales,Day_No,Month_No,Week_Day,Week_No,Week_No_Mon
1/1/2013,2163283,1,1,3,1,1
1/2/2013,2282643,2,1,4,1,1
1/3/2013,2358726,3,1,5,1,1
1/4/2013,2641822,4,1,6,1,1
1/5/2013,2574647,5,1,7,1,1
1/6/2013,2673019,6,1,1,2,2
1/7/2013,2532202,7,1,2,2,2
1/8/2013,2494795,8,1,3,2,2
1/9/2013,2283935,9,1,4,2,2
1/10/2013,2548929,10,1,5,2,2
1/11/2013,2518091,11,1,6,2,2
1/12/2013,2666410,12,1,7,2,2
1/13/2013,2427148,13,1,1,3,3
1/14/2013,1723265,14,1,2,3,3
1/15/2013,1910120,15,1,3,3,3
1/16/2013,2162384,16,1,4,3,3
1/17/2013,2566124,17,1,5,3,3
1/18/2013,2926487,18,1,6,3,3
1/19/2013,3198202,19,1,7,3,3
1/20/2013,3662321,20,1,1,4,4
1/21/2013,2409604,21,1,2,4,4
1/22/2013,2092738,22,1,3,4,4
1/23/2013,3285558,23,1,4,4,4
1/24/2013,2874906,24,1,5,4,4
1/25/2013,3033198,25,1,6,4,4
1/26/2013,2418302,26,1,7,4,4
1/27/2013,2632334,27,1,1,5,5
1/28/2013,2027444,28,1,2,5,5
1/29/2013,2034544,29,1,3,5,5
1/30/2013,2036620,30,1,4,5,5
1/31/2013,2614258,31,1,5,5,5
2/1/2013,3105994,1,2,6,5,1
2/2/2013,2660307,2,2,7,5,1
2/3/2013,2798476,3,2,1,6,2
2/4/2013,2224288,4,2,2,6,2
2/5/2013,2256462,5,2,3,6,2
2/6/2013,2597042,6,2,4,6,2
2/7/2013,2694675,7,2,5,6,2
2/8/2013,3105203,8,2,6,6,2
2/9/2013,2697565,9,2,7,6,2
2/10/2013,2885661,10,2,1,7,3
2/11/2013,2121870,11,2,2,7,3
2/12/2013,2188470,12,2,3,7,3
2/13/2013,1888041,13,2,4,7,3
2/14/2013,3090026,14,2,5,7,3
2/15/2013,3237618,15,2,6,7,3
2/16/2013,3049112,16,2,7,7,3
2/17/2013,2969496,17,2,1,8,4
2/18/2013,2572006,18,2,2,8,4
2/19/2013,2602805,19,2,3,8,4
2/20/2013,2705598,20,2,4,8,4
2/21/2013,2950989,21,2,5,8,4
2/22/2013,3286944,22,2,6,8,4
2/23/2013,3623334,23,2,7,8,4
2/24/2013,2897259,24,2,1,9,5
2/25/2013,2401863,25,2,2,9,5
2/26/2013,2503510,26,2,3,9,5
2/27/2013,2590356,27,2,4,9,5
2/28/2013,2983447,28,2,5,9,5
3/1/2013,2885117,1,3,6,9,1
